time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
5.259,0.08,-0.04,1.00,-0.18,0.01,0.06,-0.02,0.08,-0.01,0.00
5.32,0.11,-0.03,1.00,-0.18,0.01,0.06,-0.02,0.08,-0.01,0.00
5.323,0.11,-0.03,1.00,-0.18,0.01,0.06,0.02,0.03,-0.05,0.00
5.328,0.11,-0.03,1.00,0.12,0.05,0.11,0.02,0.03,-0.05,0.00
5.396,0.10,-0.04,1.01,0.12,0.05,0.11,0.02,0.03,-0.05,0.00
5.401,0.10,-0.04,1.01,0.12,0.05,0.11,0.01,0.02,-0.02,0.00
5.402,0.10,-0.04,1.01,-0.08,-0.05,0.02,0.01,0.02,-0.02,0.00
5.444,0.11,-0.05,1.00,-0.08,-0.05,0.02,0.01,0.02,-0.02,0.00
5.454,0.11,-0.05,1.00,-0.08,-0.05,0.02,-0.05,-0.02,0.08,0.00
5.454,0.11,-0.05,1.00,0.05,-0.07,0.04,-0.05,-0.02,0.08,0.00
5.513,0.07,-0.04,1.01,0.05,-0.07,0.04,-0.05,-0.02,0.08,0.00
5.521,0.07,-0.04,1.01,0.05,-0.07,0.04,-0.02,0.15,-0.06,0.00
5.521,0.07,-0.04,1.01,-0.22,0.05,0.53,-0.02,0.15,-0.06,0.00
5.602,0.15,-0.05,1.00,-0.22,0.05,0.53,-0.02,0.15,-0.06,0.00
5.606,0.15,-0.05,1.00,-0.22,0.05,0.53,-0.01,-0.08,0.04,0.00
5.607,0.15,-0.05,1.00,0.17,-0.06,-0.36,-0.01,-0.08,0.04,0.00
5.641,0.07,-0.05,1.01,0.17,-0.06,-0.36,-0.01,-0.08,0.04,0.00
5.652,0.07,-0.05,1.01,0.17,-0.06,-0.36,-0.05,0.09,-0.00,0.00
5.653,0.07,-0.05,1.01,-0.29,-0.07,0.14,-0.05,0.09,-0.00,0.00
5.72,0.07,-0.05,1.01,-0.29,-0.07,0.14,-0.03,0.14,-0.04,0.00
5.722,0.07,-0.05,1.01,-0.08,-0.03,0.34,-0.03,0.14,-0.04,0.00
5.722,0.11,-0.05,1.02,-0.08,-0.03,0.34,-0.03,0.14,-0.04,0.00
5.792,0.06,-0.05,0.99,-0.08,-0.03,0.34,-0.03,0.14,-0.04,0.00
5.802,0.06,-0.05,0.99,-0.08,-0.03,0.34,-0.01,0.13,-0.03,0.00
5.803,0.06,-0.05,0.99,0.01,0.00,-0.18,-0.01,0.13,-0.03,0.00
5.839,0.10,-0.04,1.04,0.01,0.00,-0.18,-0.01,0.13,-0.03,0.00
5.85,0.10,-0.04,1.04,0.01,0.00,-0.18,0.04,-0.01,-0.02,0.00
5.85,0.10,-0.04,1.04,0.19,0.09,0.46,0.04,-0.01,-0.02,0.00
5.905,0.06,-0.03,0.99,0.19,0.09,0.46,0.04,-0.01,-0.02,0.00
5.916,0.06,-0.03,0.99,0.19,0.09,0.46,0.05,0.12,-0.09,0.00
5.916,0.06,-0.03,0.99,-0.20,0.10,-0.10,0.05,0.12,-0.09,0.00
5.994,0.04,-0.03,1.04,-0.20,0.10,-0.10,0.05,0.12,-0.09,0.00
5.995,0.04,-0.03,1.04,-0.20,0.10,-0.10,0.08,0.20,-0.16,0.00
5.996,0.04,-0.03,1.04,-0.01,0.07,-1.11,0.08,0.20,-0.16,0.00
6.037,0.08,-0.04,1.20,-0.01,0.07,-1.11,0.08,0.20,-0.16,0.00
6.048,0.08,-0.04,1.20,-0.01,0.07,-1.11,0.11,-0.05,-0.05,0.00
6.048,0.08,-0.04,1.20,0.14,-0.06,2.00,0.11,-0.05,-0.05,0.00
7.237,0.03,-0.05,0.79,-0.03,-0.08,2.15,-0.02,0.16,-0.04,0.00
7.238,0.03,-0.05,0.79,-0.03,-0.08,2.15,-0.06,0.13,0.01,0.00
7.238,0.03,-0.05,0.79,0.01,-0.16,-2.08,-0.06,0.13,0.01,0.00
7.307,0.03,-0.05,0.79,0.01,-0.16,-2.08,-0.03,0.03,-0.04,0.00
7.308,0.03,-0.05,0.79,-0.10,-0.09,1.70,-0.03,0.03,-0.04,0.00
7.309,0.02,-0.03,1.08,-0.10,-0.09,1.70,-0.03,0.03,-0.04,0.00
7.362,0.08,-0.02,1.00,-0.10,-0.09,1.70,-0.03,0.03,-0.04,0.00
7.39,0.08,-0.02,1.00,-0.10,-0.09,1.70,0.04,-0.18,0.01,0.00
7.392,0.08,-0.02,1.00,0.34,0.13,0.05,0.04,-0.18,0.01,0.00
7.439,0.04,-0.04,1.00,0.34,0.13,0.05,0.04,-0.18,0.01,0.00
